iter	Logloss
0	0.6901440066
1	0.6871408381
2	0.6842731609
3	0.6813945374
4	0.678584001
5	0.6758491608
6	0.673194326
7	0.6705719645
8	0.6680299161
9	0.6654878865
10	0.6630504263
11	0.6606670693
12	0.6583383121
13	0.6561211956
14	0.6538882332
15	0.6516221618
16	0.6494521184
17	0.6473348054
18	0.645214301
19	0.6431588637
20	0.6411313702
21	0.6391610588
22	0.6372316644
23	0.6352189096
24	0.6333435419
25	0.6315188161
26	0.6297063486
27	0.6278292514
28	0.6261000431
29	0.6244075438
30	0.6227211756
31	0.6210466895
32	0.6194784629
33	0.6178886362
34	0.6162955093
35	0.6148012185
36	0.6132038862
37	0.6117323641
38	0.6102831384
39	0.6087924608
40	0.6074447034
41	0.6060418649
42	0.6045934459
43	0.6032667142
44	0.6018772887
45	0.6005743117
46	0.5993086494
47	0.5980283888
48	0.5968428607
49	0.5955559674
50	0.5943652335
51	0.5931777245
52	0.5921621015
53	0.5909725683
54	0.5899188402
55	0.5887911507
56	0.5875907645
57	0.5864991668
58	0.5853665064
59	0.5842701101
60	0.5832367895
61	0.5820914032
62	0.5810226338
63	0.5799711204
64	0.578988552
65	0.578005398
66	0.5770218643
67	0.5761490655
68	0.575225307
69	0.5742759277
70	0.5733581242
71	0.5724545757
72	0.5714748298
73	0.5706148755
74	0.5697747596
75	0.5688472746
76	0.5680595992
77	0.5672317674
78	0.5664317346
79	0.5657160714
80	0.5649260446
81	0.5641648498
82	0.5632450094
83	0.5624889101
84	0.5618371524
85	0.5609819288
86	0.5602975137
87	0.5595608479
88	0.558763343
89	0.5580068809
90	0.5572871369
91	0.556545055
92	0.5556956302
93	0.5550113222
94	0.5544076763
95	0.5537901308
96	0.5529777072
97	0.55233512
98	0.5516189202
99	0.5510193409
100	0.5503683687
101	0.54978167
102	0.5491237258
103	0.5485059333
104	0.5479536961
105	0.5473885199
106	0.5467415503
107	0.5461871967
108	0.545558999
109	0.5449455706
110	0.5444100255
111	0.5438341836
112	0.5433262501
113	0.542709366
114	0.5422726745
115	0.5417384964
116	0.5411618947
117	0.5407069625
118	0.5401492728
119	0.5395837808
120	0.5390356421
121	0.5385035789
122	0.537941511
123	0.5374913841
124	0.537058633
125	0.5366543352
126	0.5362422386
127	0.5358948474
128	0.5353817811
129	0.5348696092
130	0.5344362331
131	0.5339045767
132	0.5335101134
133	0.533051513
134	0.532683867
135	0.5321421564
136	0.5316825936
137	0.5312245329
138	0.5308819673
139	0.5304423669
140	0.5300073318
141	0.5295471542
142	0.5291651258
143	0.5287138253
144	0.528357561
145	0.5279292616
146	0.5275219685
147	0.5271497227
148	0.526773674
149	0.5264334047
150	0.5260514717
151	0.5255975816
152	0.5252261136
153	0.5248471679
154	0.5245166643
155	0.5241941642
156	0.5238401421
157	0.5235377032
158	0.5232316211
159	0.5229395868
160	0.5226743489
161	0.5224036905
162	0.5221229912
163	0.521822582
164	0.5215100867
165	0.5212069311
166	0.5208732342
167	0.5205445223
168	0.520264381
169	0.5199898094
170	0.5197301585
171	0.5194210665
172	0.5191473878
173	0.518862933
174	0.5186089725
175	0.5183794557
176	0.5181547454
177	0.5178839669
178	0.5176135772
179	0.5173839545
180	0.5171140216
181	0.516913039
182	0.5166476202
183	0.5163032463
184	0.5160105733
185	0.5157227694
186	0.5154622942
187	0.5151377412
188	0.5149344027
189	0.5146556229
190	0.5143112584
191	0.514037859
192	0.5137848585
193	0.5136276245
194	0.5134086328
195	0.5131811361
196	0.5129683054
197	0.5127619569
198	0.5125557697
199	0.5123591422
200	0.5121815142
201	0.5119904326
202	0.5117628447
203	0.5115660826
204	0.5113524041
205	0.5111885841
206	0.5109833496
207	0.5107703015
208	0.5104887627
209	0.5103151678
210	0.5101491177
211	0.509943423
212	0.5097735978
213	0.5095935773
214	0.5094502134
215	0.5092823284
216	0.5091362111
217	0.5089436846
218	0.5087580588
219	0.5085780754
220	0.5084244887
221	0.5082640642
222	0.5080950798
223	0.507967312
224	0.5078144063
225	0.5076681998
226	0.5075071529
227	0.5073616674
228	0.5072468436
229	0.5070144565
230	0.5067751059
231	0.5065271219
232	0.5063868545
233	0.5062380649
234	0.5060971506
235	0.505956441
236	0.5058115782
237	0.5056670887
238	0.5055276895
239	0.5053980242
240	0.5052560312
241	0.5051241086
242	0.504996146
243	0.5048442222
244	0.5047176282
245	0.5046011541
246	0.5044848579
247	0.5043426003
248	0.5042008409
249	0.5040698837
250	0.5039534675
251	0.5037704771
252	0.5036423897
253	0.5035212566
254	0.5033872267
255	0.5032802045
256	0.5031406695
257	0.5030040863
258	0.5028685814
259	0.5027544505
260	0.5026371717
261	0.5025163527
262	0.5024048728
263	0.5023044528
264	0.5021780362
265	0.5020803198
266	0.5019989763
267	0.501888733
268	0.5017703123
269	0.50164884
270	0.5015438669
271	0.5014431233
272	0.5013343433
273	0.501212763
274	0.501091079
275	0.500984906
276	0.5008233926
277	0.5007130814
278	0.5006346415
279	0.5005346169
280	0.5004333244
281	0.5003431829
282	0.5002547203
283	0.5001506633
284	0.5000335849
285	0.499892123
286	0.499802618
287	0.4997152181
288	0.4996345773
289	0.4995521415
290	0.4994311123
291	0.4993388114
292	0.4991685056
293	0.4990705608
294	0.4989754952
295	0.4988100796
296	0.4986515088
297	0.4985609789
298	0.4984630775
299	0.4983701074
300	0.4982784524
301	0.4981903396
302	0.4981123817
303	0.498012163
304	0.4979328934
305	0.497851967
306	0.4977071718
307	0.4976386572
308	0.497490906
309	0.4974201432
310	0.497273593
311	0.4971910608
312	0.497116415
313	0.4970394448
314	0.496958032
315	0.4968786544
316	0.4967766408
317	0.4966973523
318	0.496630232
319	0.4965693293
320	0.4964731395
321	0.4963938983
322	0.496343151
323	0.4962710472
324	0.4961351863
325	0.496060627
326	0.4960360471
327	0.4959811783
328	0.4959221516
329	0.4958479103
330	0.4957849
331	0.4957278486
332	0.4956198714
333	0.4955651955
334	0.4954917759
335	0.4954264164
336	0.4953536556
337	0.4952898857
338	0.4952185495
339	0.4951506676
340	0.4950752541
341	0.4950095645
342	0.4949545005
343	0.4949019841
344	0.494840842
345	0.4947795092
346	0.4946880012
347	0.4946341087
348	0.4945757305
349	0.4945007691
350	0.4944374089
351	0.4943807039
352	0.4943296209
353	0.4942701614
354	0.4942034948
355	0.4941514952
356	0.4940934734
357	0.4940463564
358	0.4939989424
359	0.4939398104
360	0.4938823677
361	0.4938259631
362	0.4937603284
363	0.4937038621
364	0.4936384267
365	0.4935626068
366	0.4935106888
367	0.4934641592
368	0.4934035856
369	0.4933418295
370	0.4932848491
371	0.4932183438
372	0.4931711879
373	0.4931118041
374	0.4930000674
375	0.4929440434
376	0.4928899941
377	0.4928281561
378	0.4927829274
379	0.4927164022
380	0.4926729465
381	0.4926244398
382	0.4925288454
383	0.4924909747
384	0.492442222
385	0.4923812037
386	0.4923221405
387	0.4922764456
388	0.4922278393
389	0.4921805075
390	0.492128288
391	0.492072188
392	0.4920181652
393	0.4919650335
394	0.4919283256
395	0.4918711366
396	0.4918234143
397	0.4917698255
398	0.4917282722
399	0.491642618
400	0.4915975581
401	0.4915450116
402	0.4914930754
403	0.4914436315
404	0.4914005387
405	0.4913585323
406	0.4913182846
407	0.4912631382
408	0.4912133503
409	0.491128086
410	0.49107853
411	0.4910301525
412	0.4909806856
413	0.4909467985
414	0.4908970553
415	0.4908500323
416	0.4908059801
417	0.4907575666
418	0.4907095935
419	0.4906252399
420	0.4905857685
421	0.4905425412
422	0.4905015175
423	0.4904651273
424	0.4904181318
425	0.4903684318
426	0.4903333293
427	0.4902850125
428	0.4902497143
429	0.4902166735
430	0.4901849562
431	0.4901421889
432	0.4900791261
433	0.4900247164
434	0.4899724015
435	0.4899262719
436	0.4898830072
437	0.4898389723
438	0.4897525861
439	0.4897114038
440	0.4896759377
441	0.489633252
442	0.4895847768
443	0.4895454718
444	0.4895040678
445	0.4894664898
446	0.4894238566
447	0.4893760667
448	0.489341973
449	0.4893104313
450	0.4892549042
451	0.4892192028
452	0.4891747729
453	0.4891420168
454	0.4890967024
455	0.4890491568
456	0.4890049466
457	0.4889724394
458	0.4889225017
459	0.4888690566
460	0.4888343894
461	0.4887999989
462	0.4887485985
463	0.4887074112
464	0.4886631673
465	0.4886260483
466	0.4885833666
467	0.488542259
468	0.4884957747
469	0.4884528912
470	0.4884066264
471	0.4883635443
472	0.4883186306
473	0.4882760033
474	0.4882258268
475	0.488191325
476	0.4881623319
477	0.4881269041
478	0.4880790089
479	0.4880412
480	0.4880033711
481	0.4879641029
482	0.4879226649
483	0.4878801891
484	0.4878456496
485	0.4878060654
486	0.4877692701
487	0.4876987839
488	0.4876625818
489	0.4876287949
490	0.4875865745
491	0.487552101
492	0.4875138196
493	0.4874771839
494	0.4874540111
495	0.48742239
496	0.487387157
497	0.4873491726
498	0.4873182076
499	0.4872594784
